Timestamp,Senior Tutor Name,Session Number,Introduction [Identify where the student is stuck in solving the problem?],Introduction [Provide a clear overview?],Instruction [Provide a correct explanation?],Instruction [Deliver an appropriate explanation that follows the given instructions?],Instruction [Adapt explanation to student's level of understanding?],Instruction [Actively engage the student?],Instruction [Consistently check in with the student to ensure that they are following along?],Overall [Communicate clearly throughout the session?]
5/3/2016 19:20:26,Senior Tutor 1,Session 0,No,No,No,No,No,No,No,No
5/3/2016 19:29:27,Senior Tutor 1,Session 1,Yes,No,Yes,No,No,No,No,Yes
5/3/2016 19:33:49,Senior Tutor 1,Session 2,Yes,No,Yes,Yes,No,No,Yes,No
5/3/2016 19:37:51,Senior Tutor 1,Session 3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/3/2016 19:45:32,Senior Tutor 1,Session 4,Yes,No,Yes,Yes,Yes,Yes,Yes,No
5/3/2016 19:52:25,Senior Tutor 1,Session 5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/3/2016 19:56:52,Senior Tutor 1,Session 6,Yes,No,Yes,No,No,Yes,No,Yes
5/3/2016 20:08:20,Senior Tutor 1,Session 7,No,No,Yes,Yes,Yes,Yes,Yes,Yes
5/3/2016 20:16:34,Senior Tutor 1,Session 8,No,No,Yes,Yes,Yes,Yes,Yes,Yes
5/3/2016 20:20:46,Senior Tutor 1,Session 9,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/3/2016 20:28:30,Senior Tutor 1,Session 10,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/4/2016 10:11:56,Senior Tutor 2,Session 0,No,No,No,No,No,No,No,No
5/4/2016 10:16:06,Senior Tutor 2,Session 1,No,No,Yes,Yes,No,No,Yes,No
5/4/2016 10:19:09,Senior Tutor 2,Session 2,Yes,No,Yes,Yes,Yes,Yes,Yes,No
5/4/2016 10:21:16,Senior Tutor 2,Session 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5/4/2016 10:24:08,Senior Tutor 2,Session 4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/4/2016 10:26:46,Senior Tutor 2,Session 5,Yes,No,Yes,Yes,No,No,Yes,Yes
5/4/2016 10:31:41,Senior Tutor 2,Session 6,Yes,No,No,Yes,Yes,Yes,Yes,Yes
5/4/2016 10:37:01,Senior Tutor 2,Session 7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5/4/2016 10:42:11,Senior Tutor 2,Session 8,No,No,Yes,Yes,Yes,No,Yes,Yes
5/4/2016 10:47:52,Senior Tutor 2,Session 9,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/4/2016 10:53:31,Senior Tutor 2,Session 10,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/4/2016 15:30:50,Senior Tutor 3,Session 0,No,No,No,No,No,No,No,No
5/4/2016 15:36:34,Senior Tutor 3,Session 1,No,No,Yes,No,No,No,No,Yes
5/4/2016 15:49:10,Senior Tutor 3,Session 2,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
5/4/2016 15:52:05,Senior Tutor 3,Session 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5/4/2016 15:54:40,Senior Tutor 3,Session 4,Yes,No,Yes,Yes,No,Yes,Yes,Yes
5/4/2016 15:56:53,Senior Tutor 3,Session 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5/4/2016 15:59:33,Senior Tutor 3,Session 6,Yes,No,Yes,Yes,No,Yes,No,No
5/4/2016 16:01:42,Senior Tutor 3,Session 7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5/4/2016 16:04:36,Senior Tutor 3,Session 8,No,No,Yes,Yes,No,Yes,No,Yes
5/4/2016 16:06:55,Senior Tutor 3,Session 9,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
5/4/2016 16:09:53,Senior Tutor 3,Session 10,No,No,Yes,Yes,Yes,Yes,Yes,Yes
5/5/2016 13:54:23,Senior Tutor 4,Session 0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5/5/2016 13:59:51,Senior Tutor 4,Session 1,Yes,No,Yes,No,Yes,No,No,Yes
5/5/2016 14:04:45,Senior Tutor 4,Session 2,Yes,No,Yes,No,No,Yes,Yes,No
5/5/2016 14:07:02,Senior Tutor 4,Session 3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/5/2016 14:09:46,Senior Tutor 4,Session 4,No,No,Yes,Yes,Yes,Yes,Yes,Yes
5/5/2016 14:13:28,Senior Tutor 4,Session 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5/5/2016 14:16:22,Senior Tutor 4,Session 6,Yes,No,Yes,Yes,No,Yes,Yes,Yes
5/5/2016 14:26:08,Senior Tutor 4,Session 7,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/5/2016 14:33:46,Senior Tutor 4,Session 8,No,No,Yes,Yes,Yes,No,Yes,Yes
5/5/2016 14:41:34,Senior Tutor 4,Session 9,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/5/2016 14:44:34,Senior Tutor 4,Session 10,No,No,Yes,Yes,Yes,No,Yes,Yes
5/5/2016 15:01:50,Senior Tutor 5,Session 0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5/5/2016 15:08:49,Senior Tutor 5,Session 1,No,No,Yes,Yes,Yes,No,No,Yes
5/5/2016 15:10:00,Senior Tutor 5,Session 2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/5/2016 15:11:30,Senior Tutor 5,Session 3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/5/2016 15:13:34,Senior Tutor 5,Session 4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/5/2016 15:17:45,Senior Tutor 5,Session 5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/5/2016 15:20:24,Senior Tutor 5,Session 6,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/5/2016 15:22:40,Senior Tutor 5,Session 7,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/5/2016 15:25:12,Senior Tutor 5,Session 8,No,No,Yes,Yes,Yes,Yes,No,Yes
5/5/2016 15:27:00,Senior Tutor 5,Session 9,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/5/2016 19:11:20,Senior Tutor 6,Session 0,No,No,No,No,No,No,No,No
5/5/2016 19:17:11,Senior Tutor 6,Session 1,Yes,No,Yes,Yes,No,Yes,No,Yes
5/5/2016 19:22:07,Senior Tutor 6,Session 2,Yes,No,Yes,No,No,Yes,No,No
5/5/2016 19:25:44,Senior Tutor 6,Session 3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/5/2016 19:30:29,Senior Tutor 6,Session 4,No,No,Yes,Yes,Yes,Yes,No,Yes
5/5/2016 19:34:50,Senior Tutor 6,Session 5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/5/2016 19:43:34,Senior Tutor 6,Session 6,No,No,Yes,No,No,Yes,No,No
5/5/2016 19:49:22,Senior Tutor 6,Session 7,No,No,Yes,Yes,Yes,Yes,No,No
5/5/2016 19:56:04,Senior Tutor 6,Session 8,No,No,Yes,Yes,Yes,Yes,No,Yes
5/5/2016 20:00:01,Senior Tutor 6,Session 9,Yes,No,Yes,Yes,Yes,Yes,No,Yes
5/5/2016 20:05:57,Senior Tutor 6,Session 10,Yes,No,Yes,Yes,Yes,Yes,No,Yes
5/5/2016 21:08:09,Senior Tutor 7,Session 0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5/5/2016 21:11:04,Senior Tutor 7,Session 1,Yes,No,Yes,No,No,No,Yes,Yes
5/5/2016 21:12:41,Senior Tutor 7,Session 2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/5/2016 21:14:16,Senior Tutor 7,Session 3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/5/2016 21:15:42,Senior Tutor 7,Session 4,Yes,No,Yes,Yes,Yes,Yes,Yes,No
5/5/2016 21:17:38,Senior Tutor 7,Session 5,Yes,No,Yes,Yes,Yes,Yes,No,Yes
5/5/2016 21:20:36,Senior Tutor 7,Session 6,Yes,No,Yes,No,No,Yes,Yes,Yes
5/5/2016 21:23:18,Senior Tutor 7,Session 7,Yes,No,Yes,Yes,Yes,Yes,No,Yes
5/5/2016 21:25:54,Senior Tutor 7,Session 8,Yes,No,Yes,Yes,Yes,No,No,Yes
5/5/2016 21:27:21,Senior Tutor 7,Session 9,Yes,No,Yes,Yes,Yes,Yes,No,Yes
5/5/2016 21:29:10,Senior Tutor 7,Session 10,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 3:17:04,Senior Tutor 8,Session 0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 3:22:36,Senior Tutor 8,Session 1,Yes,Yes,Yes,Yes,No,No,No,Yes
5/6/2016 3:26:33,Senior Tutor 8,Session 2,Yes,No,Yes,No,No,Yes,No,Yes
5/6/2016 3:30:10,Senior Tutor 8,Session 3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 3:33:54,Senior Tutor 8,Session 4,Yes,No,Yes,Yes,Yes,Yes,No,Yes
5/6/2016 3:38:00,Senior Tutor 8,Session 5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 3:44:00,Senior Tutor 8,Session 6,Yes,No,No,No,No,Yes,Yes,Yes
5/6/2016 3:49:20,Senior Tutor 8,Session 7,Yes,No,Yes,Yes,Yes,No,Yes,Yes
5/6/2016 3:54:37,Senior Tutor 8,Session 8,No,No,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 3:58:36,Senior Tutor 8,Session 9,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 4:03:58,Senior Tutor 8,Session 10,Yes,No,Yes,No,No,Yes,Yes,No
5/6/2016 6:21:55,Senior Tutor 9,Session 0,No,No,No,No,No,No,No,No
5/6/2016 6:27:41,Senior Tutor 9,Session 1,Yes,No,Yes,No,No,No,No,No
5/6/2016 6:34:33,Senior Tutor 9,Session 2,Yes,No,Yes,No,Yes,Yes,No,No
5/6/2016 6:36:37,Senior Tutor 9,Session 3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 6:39:25,Senior Tutor 9,Session 4,Yes,No,Yes,No,Yes,Yes,Yes,Yes
5/6/2016 6:43:53,Senior Tutor 9,Session 5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 6:50:17,Senior Tutor 9,Session 6,Yes,No,No,No,Yes,Yes,No,Yes
5/6/2016 6:54:13,Senior Tutor 9,Session 7,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 6:57:32,Senior Tutor 9,Session 8,No,No,Yes,Yes,Yes,Yes,No,Yes
5/6/2016 7:00:19,Senior Tutor 9,Session 9,Yes,No,Yes,Yes,No,Yes,Yes,Yes
5/6/2016 7:03:44,Senior Tutor 9,Session 10,Yes,No,Yes,Yes,Yes,Yes,No,Yes
5/6/2016 8:30:10,Senior Tutor 10,Session 1,Yes,No,Yes,No,No,No,No,No
5/6/2016 8:33:52,Senior Tutor 10,Session 2,Yes,No,No,No,No,No,Yes,No
5/6/2016 8:38:14,Senior Tutor 10,Session 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 8:43:19,Senior Tutor 10,Session 4,No,No,No,No,No,No,No,No
5/6/2016 8:45:18,Senior Tutor 11,Session 1,Yes,No,Yes,Yes,Yes,No,No,Yes
5/6/2016 8:48:09,Senior Tutor 10,Session 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 8:48:51,Senior Tutor 11,Session 2,Yes,Yes,Yes,No,Yes,Yes,No,Yes
5/6/2016 8:51:41,Senior Tutor 12,Session 0,No,No,No,No,No,No,No,No
5/6/2016 8:52:00,Senior Tutor 11,Session 3,Yes,No,Yes,Yes,Yes,Yes,No,Yes
5/6/2016 8:54:10,Senior Tutor 11,Session 4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
5/6/2016 8:57:08,Senior Tutor 11,Session 5,Yes,No,Yes,Yes,Yes,Yes,No,Yes
5/6/2016 8:57:30,Senior Tutor 10,Session 6,Yes,No,No,No,No,No,Yes,No
5/6/2016 8:59:49,Senior Tutor 12,Session 1,Yes,No,Yes,No,No,Yes,No,Yes
5/6/2016 9:01:45,Senior Tutor 10,Session 7,Yes,No,No,No,No,Yes,Yes,No
